City Lookup,0,Lat,Lng
"New Smyrna Beach, Florida",166,29.0258191,-80.9269984
"Ponce Inlet, Florida",33,29.0963729,-80.9369983
"Daytona Beach, Florida",28,29.2108147,-81.0228331
"Cocoa Beach, Florida",20,28.3200067,-80.6075513
"Melbourne Beach, Florida",19,28.0683496,-80.56033029999999
"Myrtle Beach, South Carolina",18,33.6890603,-78.8866943
"Isle of Palms, South Carolina",15,32.8194131,-79.7343791
"Singer Island, Florida",12,26.7850625,-80.03754080000002
"Ormond Beach, Florida",10,29.2858129,-81.0558894
"Playalinda Beach, Florida",10,28.6555177,-80.6318287
"Jacksonville Beach, Florida",8,30.2841224,-81.3961338
"Daytona Beach Shores, Florida",8,29.1760933,-80.9828323
"Florida Keys, Florida",8,25.0273356,-81.5357506
"Jensen Beach, Florida",8,27.2544906,-80.22976969999999
"Vero Beach, Florida",8,27.6386434,-80.39727359999999
"Palm Beach, Florida",8,26.7056206,-80.0364297
"Sanibel Island, Florida",7,26.4433972,-82.1115119
"Bethune Beach, Florida",7,28.9491539,-80.83783000000001
"Mustang Island, Texas",7,27.7103944,-97.1628647
"Jacksonville, Florida",7,30.3321838,-81.65565099999999
"Fort Lauderdale, Florida",6,26.1224386,-80.13731740000001
"Folly Beach, South Carolina",6,32.6551798,-79.94036729999999
"Juno Beach, Florida",6,26.8797819,-80.0533743
"Gulf Shores, Alabama",6,30.2460361,-87.70081929999999
"Riviera Beach, Florida",6,26.7753405,-80.0580969
"South Padre Island, Texas",6,26.1118401,-97.16812569999999
"North Myrtle Beach, South Carolina",5,33.8160058,-78.680016
"Olowalu, Hawaii",5,20.812688,-156.6227425
"Sebastian Inlet, Florida",5,27.860302,-80.4472737
"Ponce de Leon Inlet, Florida",5,29.0698216,-80.9216708
"St. Augustine, Florida",5,29.9012437,-81.31243409999999
"Jupiter, Florida",5,26.9342246,-80.0942087
"Ocean Reef Park, Florida",5,26.7937155,-80.032878
"Wrightsville Beach, North Carolina",5,34.2085036,-77.7963709
"North Topsail Beach, North Carolina",5,34.4901665,-77.43163
"Stuart Beach, Florida",4,27.2143933,-80.17502139999999
"Indialantic, Florida",4,28.0894599,-80.5656079
"Ponte Vedra Beach, Florida",4,30.2400058,-81.3852595
"Lori Wilson Park, Florida",4,28.3371416,-80.60948499999999
"Floridana Beach, Florida",4,27.9456312,-80.497996
"Hutchinson Island, Florida",4,27.3545667,-80.2488596
"South Jetty, Florida",4,27.1123385,-82.4666446
"Emerald Isle, North Carolina",4,34.6779399,-76.95077619999999
"Flagler Beach, Florida",4,29.4749754,-81.1270035
"Ocean Isle, North Carolina",4,33.8877282,-78.4364471
"San Onofre, California",4,33.3728077,-117.5656012
"Winchester Bay, Oregon",4,43.6770608,-124.1748369
